위도,경도,규모,cluster
9.9719,56.7208,4.2,0
38.4482,142.186,4.4,2
-5.9114,-81.1985,4.4,2
-50.1541,119.4884,4.4,0
-51.3304,139.9924,4.6,0
37.0419,-5.2649,4.0,1
34.5109,98.8979,4.1,0
35.6382,26.2555,4.3,0
32.3097,142.5673,4.3,0
15.581,-94.689,4.9,0
-42.1379,42.7644,4.6,0
14.4577,-93.2743,4.6,0
18.2393,-103.1024,4.1,0
-37.2925,-179.9906,4.3,0
17.8768,-66.8725,3.6,1
-2.7447,139.3718,4.3,2
23.4597,121.5099,5.1,0
-10.3082,160.9995,4.6,2
37.5621,20.9654,4.3,2
51.8693,-175.3246,3.4,2
-23.122,170.752,4.9,0
44.8034,-28.1394,4.6,0
29.5006,132.1538,4.8,0
19.6086,-65.7573,3.9,2
55.4924,-155.6819,3.3,1
18.7441,-64.9393,3.4,2
-0.1654,133.6499,4.1,2
-41.5765,173.5591,4.5,2
19.3853,-64.6968,3.93,1
-3.83,101.8367,4.9,2
13.4592,-90.4821,4.3,2
-14.8759,-173.5944,4.4,2
19.234,-155.389166666667,3.04,1
11.8101,144.4332,4.7,0
-60.7094,-25.5467,4.1,0
-7.2524,106.0683,5.3,0
1.7136,126.4084,5.2,0
12.8558,-88.5836,4.2,2
36.595,-121.2063333,3.9,0
-7.239,154.9656,4.2,0
38.6331,39.9916,4.4,0
-54.8013,158.6041,5.5,0
35.913,-0.3922,4.6,0
-14.9388,-173.2196,4.4,0
-28.502,-176.4925,4.2,0
34.4416,70.4644,4.7,2
-59.8904,-26.6311,4.8,0
39.1434,37.7879,4.4,0
45.4202,150.1729,4.6,2
-14.8304,166.5139,4.8,0
22.0009,120.247,4.3,0
37.3025,72.2847,4.5,2
-42.4527,120.026,4.5,0
-37.5596,-179.9373,4.4,0
64.1036,-22.1816,4.8,0
-3.0917,147.4701,4.6,0
0.3529,126.1181,4.4,2
47.0848,-27.2292,4.8,0
-29.8572,-177.1808,4.4,0
-27.7094,63.851,4.4,0
53.3852,-163.5138,3.3,1
2.1524,125.9305,4.7,0
-37.8209,179.9748,5.0,0
-3.8575,129.1967,4.4,2
-6.4311,147.7792,4.7,2
-30.3037,-177.1153,4.4,0
-16.9104,167.7581,4.8,2
-42.5893,-83.2103,5.0,0
-17.006,-172.5036,4.9,0
44.3456,-129.0273,3.3,1
43.3446,-126.8961,4.0,1
54.6943,-156.7433,3.3,1
36.5965,140.9286,4.3,2
61.2768,-150.103,3.6,1
13.938,-92.5124,4.6,0
61.3476,-146.8395,3.3,1
-22.7529,171.8362,4.3,0
-29.3196,-177.0144,5.1,0
-22.7278,172.1279,4.4,0
19.1266,-64.9098,3.42,2
35.5367,-3.4806,4.4,0
25.1951,-45.4962,4.3,0
24.1461,126.6505,4.3,0
-15.0446,-177.4759,4.3,0
52.5872,-168.377,3.1,1
-33.1099,-178.3803,4.8,0
-8.6645,-79.9001,4.9,2
33.1641,139.4569,4.3,0
14.1686,-92.1784,4.8,2
18.8993,-63.3747,3.3,1
-2.9252,141.2557,4.1,0
24.0326,142.9081,4.7,0
-37.7272,179.609,4.6,0
11.6687,144.3905,4.7,0
-60.2137,-24.9436,4.5,0
19.6358333333333,-65.8723333333333,3.4,1
-39.0052,178.1106,4.9,0
17.3265,-61.9155,4.2,2
-7.5115,30.4287,4.2,0
-5.7593,142.114,4.4,2
37.2183,142.2694,4.5,2
27.8177,142.9787,4.4,0
6.8479,-82.7032,4.3,0
1.7974,126.3859,5.7,0
40.86,-117.2229,3.2,1
54.4263,-159.7982,3.2,1
19.6926,-65.6526,3.81,1
-19.9726,-70.1109,4.2,2
19.1035,-64.9211,3.53,1
-58.1634,-23.3818,4.8,0
-57.0837,-24.9529,4.4,0
18.9146,-68.3863,3.82,1
-6.3392,147.7708,4.0,2
-4.4828,35.0514,4.0,1
37.8685,36.631,4.3,0
-48.2716,165.2533,5.5,0
50.5913,-173.3081,3.9,1
12.1357,-87.9138,4.3,2
-59.3713,-25.3304,4.4,0
37.3017,70.5188,4.6,2
-58.8653,-25.2377,4.7,2
-33.1685,78.1846,4.8,0
-17.69,167.617,5.1,0
-2.7224,139.7302,4.2,2
54.3509,-159.7487,3.2,1
64.2743,-149.883,3.5,1
19.6501,-65.753,3.91,2
-4.4452,152.8053,4.5,0
-3.0827,137.3178,5.1,2
-33.442,-72.2334,4.9,0
-31.706,-72.0551,4.4,0
0.8143,126.217,4.4,2
18.346,-106.1214,4.3,0
0.1975,96.6432,5.6,0
-15.0157,166.4464,4.2,0
22.0767,120.2935,4.5,0
46.7567,153.1595,4.4,2
-5.9597,151.9654,4.6,0
17.5824,147.7959,4.4,0
23.8205,121.697,4.8,2
15.293,-94.6685,4.2,2
-30.1646,-176.5479,4.4,0
2.5517,126.6152,4.4,2
-23.2024,170.8501,4.9,0
35.7114,30.0192,4.3,2
1.0009,98.3285,4.2,2
-10.9152,165.9106,4.4,2
23.9204,143.2306,5.0,0
-29.1285,-176.8536,4.8,0
-59.1459,-23.8766,4.7,0
-38.4859,-93.7674,4.5,0
-21.1201,168.64,4.6,0
24.0258,122.5546,4.6,0
38.1734,72.9929,4.2,2
-3.7834,151.4606,4.6,0
-22.7629,171.9464,4.8,0
-22.7597,172.6548,4.6,0
2.4201,126.1014,4.3,2
-28.3396,-177.2386,4.6,0
36.6384,36.5737,4.3,0
-27.9436,-176.8333,4.8,2
20.824,122.1167,4.5,0
-24.1022,-175.7879,4.7,0
37.1209,-115.3165,3.4,1
-17.5122,168.1214,4.0,1
31.68058579,-104.4199904,3.1,1
-29.3034,-176.6303,4.5,0
-20.6663,-175.7027,4.5,0
54.8814,164.6439,4.2,0
25.2188,127.0495,4.5,0
-32.6686,-178.2453,4.6,0
-5.7559,151.901,4.8,0
18.746,-64.5355,3.34,1
-21.3712,-69.9192,4.1,2
-23.1095,170.7541,4.8,0
26.914,126.4719,4.2,0
-2.4878,139.9594,4.4,0
34.8004,97.8033,4.5,0
-20.7195,-175.4496,4.9,0
-6.2227,151.2141,4.9,2
0.0202,124.4406,4.5,2
-0.603,133.2856,4.6,2
-62.3706,-58.3091,5.2,0
51.4826,-176.6355,3.1,1
61.5064,-149.8456,3.1,1
67.2046,-170.0489,3.8,1
-12.7419,-76.8947,4.3,2
-0.3776,127.2861,4.2,0
19.4508,-65.591,3.51,1
0.3599,125.8405,4.3,2
-54.3153,-119.5589,4.5,0
67.6379,34.2193,4.4,0
-52.8793,10.4622,5.5,0
-19.5305,-69.8546,4.0,2
9.1904,126.3853,4.6,0
54.1898,-159.5241,3.5,1
-14.7932,-174.0058,4.1,2
-4.8647,133.7744,4.5,0
51.6447,-173.7367,3.2,1
-28.6927,-176.5473,4.9,0
-60.2562,-25.5399,4.2,0
-32.2738,-111.6994,4.6,0
18.7233,-64.4693,3.57,1
30.9447,-41.2066,4.5,0
10.0417,126.1777,4.6,2
28.5353,140.3816,4.1,0
53.5539,-163.2573,3.1,1
-28.9915,-178.3354,5.3,0
14.8511,108.1561,4.4,0
56.2942,-156.5434,3.4,1
-8.1632,104.7159,4.3,0
19.1886,-67.1321,3.67,1
19.167,-66.1968333333333,3.16,1
10.6922,-45.4567,4.7,0
-60.4115,159.6411,4.5,0
37.7623,141.9052,4.3,2
36.0589,36.095,4.9,0
-58.3661,-24.7045,4.6,2
51.3123,-177.1266,3.6,1
10.0216,40.9514,4.3,0
42.5663,-111.4286,4.2,0
23.9839,122.2408,4.4,0
17.9456,-67.0036,3.23,1
-30.7873,-71.4286,4.2,2
-23.1868,171.0165,4.6,0
-6.2208,131.0432,4.7,2
-1.0883,120.3466,4.8,2
-58.5787,-23.3634,5.4,0
-29.1177,-176.3943,4.5,0
-6.8194,154.8732,4.3,0
38.9471,26.1083,4.1,0
-11.3381,163.0943,4.4,0
51.4506,179.6565,3.5,2
-15.2179,-75.6858,4.5,0
36.4116,53.9089,4.3,0
-14.9698,166.6516,4.8,0
43.6387,-128.0755,3.8,1
32.0551,78.7955,4.7,0
37.6847,142.2248,4.5,2
52.2851,-168.112,4.1,0
26.7722,102.9151,4.6,0
31.70926532,-104.0260547,3.3,1
31.1364,142.1859,4.4,0
26.6622,126.3583,4.2,0
19.0115,-67.5165,3.14,1
-6.4197,142.7477,5.0,0
-25.248,-64.6292,5.0,0
38.816,-122.8108333,3.22,1
-60.5514,-26.8114,4.4,0
-11.1049,166.0986,4.5,0
-30.3793,-177.7579,4.5,0
38.1671,141.7744,4.4,2
55.2815,-157.4372,4.7,0
-55.6677,-144.45,4.7,0
-23.0891,171.581,4.6,0
-58.5176,-23.1631,4.4,0
54.267,-35.2192,4.6,0
54.4847,-162.2088,3.1,1
0.2321,126.1275,4.9,2
55.2168,-157.8216,3.2,1
-58.6981,-23.2994,5.2,0
44.1727,149.0904,4.9,2
-27.5948,-178.303,5.0,0
-30.1619,-177.9178,5.2,2
-38.3594,-93.7371,4.9,0
-60.2774,-25.4681,4.6,0
52.2924,-173.4294,3.6,1
26.4842,-44.6193,4.5,0
-58.5539,-25.253,4.9,0
31.1081,142.3905,4.6,0
37.943,27.3214,3.2,1
7.4576,-76.9434,5.0,2
26.9098,55.2757,4.1,0
30.3231,94.8038,4.8,2
34.3569,69.5631,4.5,0
-5.5991,151.9238,5.3,0
51.6947,105.7589,4.4,0
33.5579,141.4069,4.4,2
-7.578,122.3461,4.0,1
-3.0307,128.0098,4.9,2
5.841,-75.9875,4.1,2
17.1472,147.3444,4.3,0
6.1524,127.6087,5.7,0
-7.3385,121.8266,4.3,0
-45.9794,35.139,4.9,0
51.3769,179.0697,3.1,1
-28.2666,-177.8183,5.4,0
0.9402,92.0109,5.1,0
56.1347,-149.3323,3.3,1
29.8557,-113.8277,4.2,0
-15.1558,-74.8353,4.1,2
-6.1109,148.4506,4.5,2
-11.4679,117.3581,4.4,0
21.1214,121.0554,4.3,0
12.463,144.4783,4.9,0
35.7261,139.9344,4.2,2
-9.7991,159.4073,5.5,0
18.8071666666667,-67.2968333333333,3.12,1
4.809,125.4626,4.6,0
-8.0672,104.3692,4.5,0
-28.7842,-177.0446,4.5,0
31.5663333,-114.4146667,4.57,0
29.7511,-113.9179,4.8,0
27.1302,100.2948,4.6,0
-6.412,147.4417,4.2,2
28.9949,142.4745,4.0,1
29.6454,50.871,4.2,0
29.9682,80.4219,4.9,2
-49.9278,115.9643,4.2,0
34.224,56.7628,4.8,0
54.4642,-159.8827,3.1,1
14.2558,119.3835,4.5,0
80.8314,120.4384,4.5,0
2.8996,126.6652,4.5,0
-30.1739,-177.1545,5.4,0
53.4323,-163.6601,4.2,2
37.2326667,-121.6146667,3.29,1
15.476,-88.3355,5.2,0
